Wins,Losses,Computer guess,Player guess,Number of tries
0,1,7,4,1
0,2,9,3,2
0,3,2,3,3
0,4,1,3,4
0,5,7,3,5
0,6,7,3,6
0,7,5,3,7
1,0,3,3,8
1,1,7,3,9
1,2,8,3,10
1,3,9,3,11
1,4,6,4,12
1,5,10,1,13
1,6,8,1,14
1,7,8,2,15
